Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-02-11T09:00:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T09:00:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T09:00:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.605	
2014-02-11T09:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.820	
2014-02-11T09:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.115	
2014-02-11T09:15:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T09:15:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T09:15:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.605	
2014-02-11T09:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.820	
2014-02-11T09:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.113	
2014-02-11T09:30:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T09:30:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
